DATE,TMIN,TMAX,TOBS,class
01/01/1960,37,48,42,no
02/01/1960,30,52,45,no
03/01/1960,33,53,46,no
04/01/1960,35,55,45,no
05/01/1960,32,60,53,no
06/01/1960,32,63,50,no
07/01/1960,40,67,55,no
08/01/1960,42,67,57,no
09/01/1960,40,67,52,no
10/01/1960,48,55,49,no
11/01/1960,6.111111111,10.55555556,8.888888889,yes
12/01/1960,6.111111111,10,7.222222222,yes
13/01/1960,33,51,44,no
14/01/1960,33,55,45,no
15/01/1960,37,47,37,no
16/01/1960,32,51,45,no
17/01/1960,32,54,52,no
18/01/1960,35,56,48,no
19/01/1960,35,60,56,no
20/01/1960,38,69,57,no
21/01/1960,40,68,51,no
22/01/1960,42,68,58,no
23/01/1960,43,69,57,no
24/01/1960,43,72,56,no
25/01/1960,45,66,58,no
26/01/1960,50,62,55,no
27/01/1960,42,60,55,no
28/01/1960,40,74,67,no
29/01/1960,45,77,66,no
30/01/1960,47,71,62,no
31/01/1960,44,67,60,no
01/02/1960,40,64,52,no
02/02/1960,49,59,53,no
03/02/1960,38,59,52,no
04/02/1960,40,65,59,no
05/02/1960,47,68,55,no
06/02/1960,45,67,57,no
07/02/1960,48,72,60,no
08/02/1960,7.777777778,18.33333333,12.77777778,yes
09/02/1960,45,54,45,no
10/02/1960,43,50,45,no
11/02/1960,36,66,60,no
12/02/1960,37,66,65,no
13/02/1960,39,66,51,no
14/02/1960,39,69,61,no
15/02/1960,41,70,59,no
16/02/1960,40,68,60,no
17/02/1960,7.222222222,22.77777778,15.55555556,yes
18/02/1960,42,64,50,no
19/02/1960,45,53,48,no
20/02/1960,35,62,59,no
21/02/1960,3.333333333,17.22222222,9.444444444,yes
22/02/1960,7.222222222,16.11111111,11.66666667,yes
23/02/1960,39,60,55,no
24/02/1960,33,60,50,no
25/02/1960,34,58,48,no
26/02/1960,38,52,47,no
27/02/1960,43,57,49,no
28/02/1960,39,55,48,no
29/02/1960,46,58,50,no
01/03/1960,47,53,48,no
02/03/1960,38,64,54,no
03/03/1960,42,69,59,no
04/03/1960,41,67,59,no
05/03/1960,44,78,58,no
06/03/1960,50,76,66,no
07/03/1960,49,73,63,no
08/03/1960,50,74,65,no
09/03/1960,47,71,62,no
10/03/1960,46,69,61,no
11/03/1960,47,70,60,no
12/03/1960,48,70,61,no
13/03/1960,51,63,55,no
14/03/1960,43,71,66,no
15/03/1960,49,73,57,no
16/03/1960,45,74,67,no
17/03/1960,46,76,71,no
18/03/1960,49,83,77,no
19/03/1960,53,86,75,no
20/03/1960,56,85,76,no
21/03/1960,55,83,70,no
22/03/1960,50,75,60,no
23/03/1960,50,65,57,no
24/03/1960,6.666666667,19.44444444,15,yes
25/03/1960,52,59,55,no
26/03/1960,50,71,63,no
27/03/1960,52,62,57,no
28/03/1960,50,58,56,no
29/03/1960,38,69,61,no
30/03/1960,45,70,58,no
31/03/1960,46,72,66,no
01/04/1960,49,83,78,no
02/04/1960,59,84,77,no
03/04/1960,53,90,77,no
04/04/1960,55,88,80,no
05/04/1960,57,90,75,no
06/04/1960,56,85,73,no
07/04/1960,49,79,71,no
08/04/1960,50,75,69,no
09/04/1960,48,80,65,no
10/04/1960,49,79,72,no
11/04/1960,47,72,54,no
12/04/1960,46,65,58,no
13/04/1960,44,80,70,no
14/04/1960,48,79,69,no
15/04/1960,46,76,69,no
16/04/1960,49,80,67,no
17/04/1960,52,86,79,no
18/04/1960,55,87,77,no
19/04/1960,50,82,73,no
20/04/1960,53,82,70,no
21/04/1960,49,71,59,no
22/04/1960,51,61,53,no
23/04/1960,41,56,53,no
24/04/1960,42,61,58,no
25/04/1960,38,67,63,no
26/04/1960,39,66,58,no
27/04/1960,8.888888889,15,12.22222222,yes
28/04/1960,48,58,54,no
29/04/1960,39,67,63,no
30/04/1960,45,78,75,no
01/05/1960,53,85,78,no
02/05/1960,50,77,55,no
03/05/1960,48,59,52,no
04/05/1960,50,54,52,no
05/05/1960,40,70,65,no
06/05/1960,52,90,80,no
07/05/1960,58,87,80,no
08/05/1960,56,87,82,no
09/05/1960,55,86,82,no
10/05/1960,60,94,80,no
11/05/1960,60,97,88,no
12/05/1960,60,92,82,no
13/05/1960,58,84,72,no
14/05/1960,54,70,58,no
15/05/1960,53,59,55,no
16/05/1960,50,65,57,no
17/05/1960,53,72,65,no
18/05/1960,52,71,64,no
19/05/1960,10,30.55555556,23.33333333,yes
20/05/1960,53,88,79,no
21/05/1960,54,80,67,no
22/05/1960,43,70,62,no
23/05/1960,46,68,62,no
24/05/1960,45,69,64,no
25/05/1960,44,77,67,no
26/05/1960,52,88,81,no
27/05/1960,57,87,83,no
28/05/1960,58,84,77,no
29/05/1960,55,77,73,no
30/05/1960,55,78,70,no
31/05/1960,56,80,71,no
01/06/1960,56,85,77,no
02/06/1960,57,86,78,no
03/06/1960,13.88888889,25.55555556,18.33333333,yes
04/06/1960,57,78,73,no
05/06/1960,58,73,62,no
06/06/1960,57,75,71,no
07/06/1960,58,81,73,no
08/06/1960,51,83,75,no
09/06/1960,48,80,77,no
10/06/1960,51,83,78,no
11/06/1960,52,85,81,no
12/06/1960,56,86,80,no
13/06/1960,53,87,83,no
14/06/1960,59,87,83,no
15/06/1960,56,84,76,no
16/06/1960,54,88,81,no
17/06/1960,58,92,80,no
18/06/1960,63,89,81,no
19/06/1960,58,92,85,no
20/06/1960,63,95,78,no
21/06/1960,65,102,97,no
22/06/1960,69,98,88,no
23/06/1960,65,90,83,no
24/06/1960,60,92,78,no
25/06/1960,60,91,81,no
