DATE,TMIN,TMAX,TOBS,class
01/01/1960,37,48,42,0
02/01/1960,30,52,45,0
03/01/1960,33,53,46,0
04/01/1960,35,55,45,0
05/01/1960,32,60,53,0
06/01/1960,32,63,50,0
07/01/1960,40,67,55,0
08/01/1960,42,67,57,0
09/01/1960,40,67,52,0
10/01/1960,48,55,49,0
11/01/1960,43,51,48,0
12/01/1960,43,50,45,0
13/01/1960,33,51,44,0
14/01/1960,33,55,45,0
15/01/1960,37,47,37,0
16/01/1960,32,51,45,0
17/01/1960,32,54,52,0
18/01/1960,35,56,48,0
19/01/1960,35,60,56,0
20/01/1960,38,69,57,0
21/01/1960,40,68,51,0
22/01/1960,42,68,58,0
23/01/1960,43,69,57,0
24/01/1960,43,72,56,0
25/01/1960,45,66,58,0
26/01/1960,50,62,55,0
27/01/1960,42,60,55,0
28/01/1960,40,74,67,0
29/01/1960,45,77,66,0
30/01/1960,47,71,62,0
31/01/1960,44,67,60,0
01/02/1960,40,64,52,0
02/02/1960,49,59,53,0
03/02/1960,38,59,52,0
04/02/1960,40,65,59,0
05/02/1960,47,68,55,0
06/02/1960,45,67,57,0
07/02/1960,8.888888889,22.22222222,15.55555556,1
08/02/1960,7.777777778,18.33333333,12.77777778,1
09/02/1960,45,54,45,0
10/02/1960,43,50,45,0
11/02/1960,36,66,60,0
12/02/1960,37,66,65,0
13/02/1960,39,66,51,0
14/02/1960,39,69,61,0
15/02/1960,41,70,59,0
16/02/1960,40,68,60,0
17/02/1960,7.222222222,22.77777778,15.55555556,1
18/02/1960,42,64,50,0
19/02/1960,45,53,48,0
20/02/1960,35,62,59,0
21/02/1960,38,63,49,0
22/02/1960,7.222222222,16.11111111,11.66666667,1
23/02/1960,39,60,55,0
24/02/1960,33,60,50,0
25/02/1960,34,58,48,0
26/02/1960,38,52,47,0
27/02/1960,43,57,49,0
28/02/1960,39,55,48,0
29/02/1960,46,58,50,0
01/03/1960,47,53,48,0
02/03/1960,38,64,54,0
03/03/1960,42,69,59,0
04/03/1960,41,67,59,0
05/03/1960,44,78,58,0
06/03/1960,50,76,66,0
07/03/1960,49,73,63,0
08/03/1960,50,74,65,0
09/03/1960,47,71,62,0
10/03/1960,46,69,61,0
11/03/1960,47,70,60,0
12/03/1960,8.888888889,21.11111111,16.11111111,1
13/03/1960,51,63,55,0
14/03/1960,6.111111111,21.66666667,18.88888889,1
15/03/1960,49,73,57,0
16/03/1960,45,74,67,0
17/03/1960,46,76,71,0
18/03/1960,49,83,77,0
19/03/1960,53,86,75,0
20/03/1960,56,85,76,0
21/03/1960,55,83,70,0
22/03/1960,50,75,60,0
23/03/1960,50,65,57,0
24/03/1960,44,67,59,0
25/03/1960,52,59,55,0
26/03/1960,50,71,63,0
27/03/1960,11.11111111,16.66666667,13.88888889,1
28/03/1960,50,58,56,0
29/03/1960,38,69,61,0
30/03/1960,45,70,58,0
31/03/1960,46,72,66,0
01/04/1960,49,83,78,0
02/04/1960,59,84,77,0
03/04/1960,53,90,77,0
04/04/1960,55,88,80,0
05/04/1960,57,90,75,0
06/04/1960,56,85,73,0
07/04/1960,49,79,71,0
08/04/1960,50,75,69,0
09/04/1960,48,80,65,0
10/04/1960,49,79,72,0
11/04/1960,47,72,54,0
12/04/1960,46,65,58,0
13/04/1960,44,80,70,0
14/04/1960,48,79,69,0
15/04/1960,46,76,69,0
16/04/1960,49,80,67,0
17/04/1960,52,86,79,0
18/04/1960,12.77777778,30.55555556,25,1
19/04/1960,50,82,73,0
20/04/1960,53,82,70,0
21/04/1960,49,71,59,0
22/04/1960,51,61,53,0
23/04/1960,5,13.33333333,11.66666667,1
24/04/1960,42,61,58,0
25/04/1960,38,67,63,0
26/04/1960,3.888888889,18.88888889,14.44444444,1
27/04/1960,48,59,54,0
28/04/1960,8.888888889,14.44444444,12.22222222,1
29/04/1960,39,67,63,0
30/04/1960,45,78,75,0
01/05/1960,53,85,78,0
02/05/1960,10,25,12.77777778,1
03/05/1960,48,59,52,0
04/05/1960,50,54,52,0
05/05/1960,40,70,65,0
06/05/1960,52,90,80,0
07/05/1960,58,87,80,0
08/05/1960,56,87,82,0
09/05/1960,55,86,82,0
10/05/1960,60,94,80,0
11/05/1960,60,97,88,0
12/05/1960,60,92,82,0
13/05/1960,58,84,72,0
14/05/1960,12.22222222,21.11111111,14.44444444,1
15/05/1960,53,59,55,0
16/05/1960,50,65,57,0
17/05/1960,53,72,65,0
18/05/1960,52,71,64,0
19/05/1960,50,87,74,0
20/05/1960,53,88,79,0
21/05/1960,54,80,67,0
22/05/1960,43,70,62,0
23/05/1960,46,68,62,0
24/05/1960,45,69,64,0
25/05/1960,44,77,67,0
26/05/1960,52,88,81,0
27/05/1960,13.88888889,30.55555556,28.33333333,1
28/05/1960,58,84,77,0
29/05/1960,55,77,73,0
30/05/1960,55,78,70,0
31/05/1960,56,80,71,0
01/06/1960,56,85,77,0
02/06/1960,57,86,78,0
03/06/1960,57,78,65,0
04/06/1960,57,78,73,0
05/06/1960,58,73,62,0
06/06/1960,57,75,71,0
07/06/1960,58,81,73,0
08/06/1960,51,83,75,0
09/06/1960,48,80,77,0
10/06/1960,51,83,78,0
11/06/1960,52,85,81,0
12/06/1960,56,86,80,0
13/06/1960,11.66666667,30.55555556,28.33333333,1
14/06/1960,59,87,83,0
15/06/1960,56,84,76,0
16/06/1960,54,88,81,0
17/06/1960,58,92,80,0
18/06/1960,63,89,81,0
19/06/1960,-9.75308642,0.740740741,-1.419753086,1
20/06/1960,63,95,78,0
21/06/1960,65,102,97,0
22/06/1960,69,98,88,0
23/06/1960,65,90,83,0
24/06/1960,60,92,78,0
25/06/1960,60,91,81,0
26/06/1960,58,92,85,0
27/06/1960,58,92,85,0
28/06/1960,60,95,84,0
29/06/1960,63,95,90,0
30/06/1960,67,98,93,0
01/07/1960,67,100,90,0
02/07/1960,67,95,86,0
03/07/1960,61,87,81,0
04/07/1960,51,85,80,0
05/07/1960,51,87,81,0
06/07/1960,50,91,84,0
07/07/1960,53,89,83,0
08/07/1960,56,88,82,0
09/07/1960,52,87,83,0
10/07/1960,58,89,84,0
11/07/1960,60,94,88,0
12/07/1960,64,93,83,0
13/07/1960,58,93,88,0
14/07/1960,63,99,95,0
15/07/1960,71,106,93,0
16/07/1960,73,98,95,0
17/07/1960,75,104,95,0
18/07/1960,72,102,95,0
19/07/1960,75,101,100,0
20/07/1960,75,112,95,0
21/07/1960,72,103,90,0
22/07/1960,72,100,92,0
23/07/1960,72,98,95,0
24/07/1960,68,95,87,0
25/07/1960,65,91,86,0
26/07/1960,66,91,86,0
27/07/1960,70,92,79,0
28/07/1960,68,99,90,0
29/07/1960,18.88888889,33.88888889,29.44444444,1
30/07/1960,66,92,90,0
31/07/1960,65,92,88,0
01/08/1960,65,96,90,0
02/08/1960,65,100,98,0
03/08/1960,65,99,90,0
04/08/1960,65,91,86,0
05/08/1960,57,89,83,0
06/08/1960,62,90,83,0
07/08/1960,61,91,80,0
08/08/1960,59,88,80,0
09/08/1960,59,90,85,0
10/08/1960,62,87,82,0
11/08/1960,68,95,88,0
12/08/1960,66,92,85,0
13/08/1960,64,93,91,0
14/08/1960,63,95,89,0
15/08/1960,62,90,82,0
16/08/1960,52,86,82,0
17/08/1960,57,93,89,0
18/08/1960,65,100,98,0
19/08/1960,21.66666667,37.22222222,31.66666667,1
20/08/1960,66,95,88,0
21/08/1960,71,93,83,0
22/08/1960,57,85,73,0
23/08/1960,55,82,80,0
24/08/1960,56,82,76,0
25/08/1960,52,85,80,0
26/08/1960,52,85,77,0
27/08/1960,48,87,75,0
28/08/1960,50,89,83,0
29/08/1960,58,90,85,0
30/08/1960,59,90,88,0
31/08/1960,57,89,84,0
01/09/1960,68,84,80,0
02/09/1960,66,96,90,0
03/09/1960,74,96,90,0
04/09/1960,75,95,94,0
05/09/1960,73,97,92,0
06/09/1960,68,95,89,0
07/09/1960,68,91,90,0
08/09/1960,68,93,92,0
09/09/1960,69,93,92,0
10/09/1960,73,95,93,0
11/09/1960,73,97,96,0
12/09/1960,73,105,103,0
13/09/1960,73,103,91,0
14/09/1960,68,93,83,0
15/09/1960,63,85,74,0
16/09/1960,53,82,75,0
17/09/1960,52,85,77,0
18/09/1960,52,90,82,0
19/09/1960,64,91,85,0
20/09/1960,60,86,83,0
21/09/1960,55,84,74,0
22/09/1960,48,80,75,0
23/09/1960,55,90,85,0
24/09/1960,64,97,86,0
25/09/1960,65,100,88,0
26/09/1960,67,97,90,0
27/09/1960,68,98,94,0
28/09/1960,59,94,81,0
29/09/1960,10,27.77777778,20,1
30/09/1960,51,78,71,0
01/10/1960,49,80,70,0
02/10/1960,54,86,75,0
03/10/1960,56,90,80,0
04/10/1960,57,90,85,0
05/10/1960,62,95,85,0
06/10/1960,63,96,83,0
07/10/1960,63,87,73,0
08/10/1960,12.77777778,23.33333333,17.22222222,1
09/10/1960,52,63,56,0
10/10/1960,48,68,59,0
11/10/1960,44,71,65,0
12/10/1960,43,72,60,0
13/10/1960,44,66,56,0
14/10/1960,50,70,62,0
15/10/1960,45,71,63,0
16/10/1960,43,79,64,0
17/10/1960,50,79,68,0
18/10/1960,47,76,70,0
19/10/1960,51,87,77,0
20/10/1960,57,90,81,0
21/10/1960,56,91,88,0
22/10/1960,58,88,68,0
23/10/1960,56,78,66,0
24/10/1960,50,75,65,0
25/10/1960,53,82,77,0
26/10/1960,47,78,65,0
27/10/1960,46,75,63,0
28/10/1960,46,77,72,0
29/10/1960,48,77,65,0
30/10/1960,52,84,77,0
31/10/1960,53,81,69,0
01/11/1960,-10.37037037,-2.037037037,-5.740740741,1
02/11/1960,9.444444444,27.77777778,18.33333333,1
03/11/1960,51,66,55,0
04/11/1960,49,66,55,0
05/11/1960,52,70,63,0
06/11/1960,53,65,55,0
07/11/1960,46,58,53,0
08/11/1960,41,64,61,0
09/11/1960,43,73,62,0
10/11/1960,46,72,60,0
11/11/1960,44,68,56,0
12/11/1960,40,58,52,0
13/11/1960,49,64,54,0
14/11/1960,38,62,52,0
15/11/1960,38,69,60,0
16/11/1960,42,73,67,0
17/11/1960,6.666666667,25,21.66666667,1
18/11/1960,46,75,62,0
19/11/1960,41,71,65,0
20/11/1960,46,77,72,0
21/11/1960,47,75,62,0
22/11/1960,45,76,60,0
23/11/1960,45,75,63,0
24/11/1960,47,77,59,0
25/11/1960,48,76,60,0
26/11/1960,38,62,47,0
27/11/1960,41,55,52,0
28/11/1960,35,66,58,0
29/11/1960,40,67,53,0
30/11/1960,43,70,56,0
01/12/1960,51,70,55,0
02/12/1960,43,58,49,0
03/12/1960,39,52,46,0
04/12/1960,34,59,50,0
05/12/1960,35,62,49,0
06/12/1960,40,54,42,0
07/12/1960,32,51,42,0
08/12/1960,35,47,38,0
09/12/1960,25,55,47,0
10/12/1960,31,53,46,0
11/12/1960,36,61,58,0
12/12/1960,3.333333333,21.11111111,14.44444444,1
13/12/1960,41,67,57,0
14/12/1960,41,66,59,0
15/12/1960,35,64,55,0
16/12/1960,38,67,50,0
17/12/1960,41,74,69,0
18/12/1960,46,77,68,0
19/12/1960,48,81,70,0
20/12/1960,48,79,66,0
21/12/1960,41,74,64,0
22/12/1960,47,78,64,0
23/12/1960,45,78,72,0
24/12/1960,48,76,65,0
25/12/1960,46,76,64,0
26/12/1960,45,77,66,0
27/12/1960,45,69,53,0
28/12/1960,40,61,54,0
29/12/1960,40,66,60,0
30/12/1960,41,69,54,0
31/12/1960,39,63,55,0
01/01/1961,0.555555556,16.66666667,13.88888889,1
02/01/1961,34,66,62,0
03/01/1961,35,70,60,0
04/01/1961,40,69,56,0
05/01/1961,39,71,61,0
06/01/1961,40,72,63,0
07/01/1961,5.555555556,23.33333333,20.55555556,1
08/01/1961,45,77,67,0
09/01/1961,43,76,63,0
10/01/1961,43,78,65,0
11/01/1961,48,78,70,0
12/01/1961,45,74,63,0
13/01/1961,43,76,64,0
14/01/1961,47,81,70,0
15/01/1961,47,80,73,0
16/01/1961,11.11111111,26.66666667,20,1
17/01/1961,50,82,63,0
18/01/1961,48,80,73,0
19/01/1961,54,78,66,0
20/01/1961,55,71,62,0
21/01/1961,47,71,63,0
22/01/1961,52,65,60,0
23/01/1961,45,70,58,0
24/01/1961,40,66,50,0
25/01/1961,44,68,54,0
26/01/1961,47,55,50,0
27/01/1961,47,57,52,0
28/01/1961,43,61,53,0
29/01/1961,2.777777778,18.33333333,12.22222222,1
30/01/1961,42,70,59,0
31/01/1961,43,66,62,0
01/02/1961,41,69,60,0
02/02/1961,46,69,55,0
03/02/1961,40,68,55,0
04/02/1961,45,74,67,0
05/02/1961,49,71,59,0
06/02/1961,40,66,55,0
07/02/1961,39,63,55,0
08/02/1961,37,64,53,0
09/02/1961,40,72,65,0
10/02/1961,49,79,63,0
11/02/1961,47,73,63,0
12/02/1961,46,65,57,0
13/02/1961,36,67,57,0
14/02/1961,41,77,63,0
15/02/1961,43,70,66,0
16/02/1961,46,69,51,0
17/02/1961,43,62,53,0
18/02/1961,37,62,54,0
19/02/1961,34,68,62,0
20/02/1961,42,79,70,0
21/02/1961,46,78,69,0
22/02/1961,47,79,68,0
23/02/1961,40,74,63,0
24/02/1961,46,77,55,0
25/02/1961,44,74,61,0
26/02/1961,40,65,57,0
27/02/1961,46,69,61,0
28/02/1961,40,78,63,0
01/03/1961,45,83,67,0
02/03/1961,47,74,63,0
03/03/1961,46,65,50,0
04/03/1961,40,53,50,0
05/03/1961,43,62,55,0
06/03/1961,7.222222222,15.55555556,12.22222222,1
07/03/1961,47,74,65,0
08/03/1961,41,79,68,0
09/03/1961,45,74,66,0
10/03/1961,41,72,57,0
11/03/1961,38,69,60,0
12/03/1961,41,73,62,0
13/03/1961,46,78,63,0
14/03/1961,45,77,65,0
15/03/1961,43,66,50,0
16/03/1961,5,15.55555556,12.77777778,1
17/03/1961,38,56,51,0
18/03/1961,36,64,60,0
19/03/1961,39,75,70,0
20/03/1961,44,75,70,0
21/03/1961,42,75,69,0
22/03/1961,38,75,64,0
23/03/1961,43,68,57,0
24/03/1961,42,58,53,0
25/03/1961,43,58,51,0
26/03/1961,38,62,54,0
27/03/1961,40,60,53,0
28/03/1961,43,54,45,0
29/03/1961,37,60,57,0
30/03/1961,36,64,60,0
31/03/1961,46,68,52,0
01/04/1961,42,77,71,0
02/04/1961,53,92,83,0
03/04/1961,58,96,90,0
04/04/1961,60,91,83,0
05/04/1961,51,85,56,0
06/04/1961,52,60,60,0
07/04/1961,48,62,54,0
08/04/1961,41,76,69,0
09/04/1961,43,74,56,0
10/04/1961,47,65,58,0
11/04/1961,43,79,75,0
12/04/1961,47,76,70,0
13/04/1961,47,72,63,0
14/04/1961,41,76,73,0
15/04/1961,50,91,72,0
16/04/1961,56,90,82,0
17/04/1961,56,86,79,0
18/04/1961,43,78,59,0
19/04/1961,50,66,55,0
20/04/1961,37,66,58,0
21/04/1961,41,67,58,0
22/04/1961,44,64,58,0
23/04/1961,41,64,58,0
24/04/1961,37,66,63,0
25/04/1961,36,68,60,0
26/04/1961,43,76,68,0
27/04/1961,45,80,72,0
28/04/1961,47,84,72,0
29/04/1961,50,83,72,0
30/04/1961,48,84,81,0
01/05/1961,47,81,74,0
02/05/1961,49,75,65,0
03/05/1961,48,65,57,0
04/05/1961,46,61,52,0
05/05/1961,40,69,64,0
06/05/1961,41,67,59,0
07/05/1961,48,71,64,0
08/05/1961,45,88,83,0
09/05/1961,56,90,82,0
10/05/1961,51,83,75,0
11/05/1961,49,75,64,0
12/05/1961,47,65,60,0
13/05/1961,43,71,67,0
14/05/1961,43,80,70,0
15/05/1961,47,76,73,0
16/05/1961,47,74,67,0
17/05/1961,48,70,67,0
18/05/1961,49,78,67,0
19/05/1961,50,72,63,0
20/05/1961,43,75,70,0
21/05/1961,46,80,71,0
22/05/1961,45,76,70,0
23/05/1961,48,77,70,0
24/05/1961,47,74,68,0
25/05/1961,46,74,64,0
26/05/1961,50,75,67,0
27/05/1961,46,74,67,0
28/05/1961,7.777777778,21.11111111,17.22222222,1
29/05/1961,43,73,67,0
30/05/1961,42,75,70,0
31/05/1961,49,71,65,0
01/06/1961,48,66,64,0
02/06/1961,43,73,69,0
03/06/1961,46,78,74,0
04/06/1961,47,77,75,0
05/06/1961,49,76,73,0
06/06/1961,48,80,73,0
07/06/1961,46,80,70,0
08/06/1961,53,74,70,0
09/06/1961,51,80,72,0
10/06/1961,48,78,74,0
11/06/1961,47,82,79,0
12/06/1961,47,80,75,0
13/06/1961,50,87,85,0
14/06/1961,63,94,87,0
15/06/1961,63,101,95,0
16/06/1961,61,96,82,0
17/06/1961,64,89,84,0
18/06/1961,57,92,85,0
19/06/1961,64,92,85,0
20/06/1961,62,87,82,0
21/06/1961,52,84,80,0
22/06/1961,55,90,86,0
23/06/1961,65,94,90,0
24/06/1961,66,96,91,0
25/06/1961,65,96,96,0
26/06/1961,63,95,91,0
27/06/1961,62,96,89,0
28/06/1961,67,98,95,0
29/06/1961,66,97,93,0
30/06/1961,60,97,90,0
01/07/1961,60,97,79,0
02/07/1961,58,81,79,0
03/07/1961,54,81,78,0
04/07/1961,51,81,76,0
05/07/1961,50,84,80,0
06/07/1961,55,88,85,0
07/07/1961,59,96,90,0
08/07/1961,68,101,93,0
09/07/1961,69,95,91,0
10/07/1961,68,96,88,0
11/07/1961,16.11111111,35.55555556,26.66666667,1
12/07/1961,60,88,82,0
13/07/1961,60,93,85,0
14/07/1961,61,92,82,0
15/07/1961,61,93,87,0
16/07/1961,66,89,83,0
17/07/1961,62,91,86,0
18/07/1961,67,91,87,0
19/07/1961,68,96,92,0
20/07/1961,62,94,83,0
21/07/1961,54,83,76,0
22/07/1961,53,80,77,0
23/07/1961,56,84,75,0
24/07/1961,54,88,80,0
25/07/1961,59,88,80,0
26/07/1961,60,91,86,0
27/07/1961,63,94,87,0
28/07/1961,60,90,82,0
29/07/1961,58,84,74,0
30/07/1961,15.55555556,27.77777778,25,1
31/07/1961,51,89,83,0
01/08/1961,53,90,84,0
02/08/1961,16.11111111,33.33333333,32.22222222,1
03/08/1961,64,95,90,0
04/08/1961,70,102,75,0
05/08/1961,64,93,90,0
06/08/1961,67,92,89,0
07/08/1961,65,93,86,0
08/08/1961,65,94,90,0
09/08/1961,64,93,75,0
10/08/1961,61,89,81,0
11/08/1961,63,93,86,0
12/08/1961,64,90,85,0
13/08/1961,60,90,84,0
14/08/1961,55,87,82,0
15/08/1961,56,85,78,0
16/08/1961,55,91,75,0
17/08/1961,58,93,86,0
18/08/1961,62,89,72,0
19/08/1961,64,87,80,0
20/08/1961,18.88888889,34.44444444,32.77777778,1
21/08/1961,70,96,93,0
22/08/1961,67,96,84,0
23/08/1961,60,90,83,0
24/08/1961,59,90,84,0
25/08/1961,61,91,84,0
26/08/1961,59,92,76,0
27/08/1961,59,87,76,0
28/08/1961,47,83,76,0
29/08/1961,50,82,77,0
30/08/1961,51,83,75,0
31/08/1961,10,29.44444444,26.66666667,1
01/09/1961,59,93,80,0
02/09/1961,49,85,74,0
03/09/1961,55,95,88,0
04/09/1961,59,101,92,0
05/09/1961,62,95,82,0
06/09/1961,60,94,88,0
07/09/1961,57,92,82,0
08/09/1961,50,82,72,0
09/09/1961,42,85,79,0
10/09/1961,59,95,89,0
11/09/1961,66,96,90,0
12/09/1961,62,93,82,0
13/09/1961,56,85,75,0
14/09/1961,56,80,76,0
15/09/1961,56,83,65,0
16/09/1961,58,78,67,0
17/09/1961,12.77777778,23.33333333,21.66666667,1
18/09/1961,49,76,66,0
19/09/1961,48,71,67,0
20/09/1961,55,72,62,0
21/09/1961,54,64,60,0
22/09/1961,56,62,58,0
23/09/1961,45,75,68,0
24/09/1961,47,83,75,0
25/09/1961,55,90,79,0
26/09/1961,59,93,86,0
27/09/1961,64,96,87,0
28/09/1961,16.11111111,33.33333333,27.77777778,1
29/09/1961,56,85,72,0
30/09/1961,53,85,68,0
01/10/1961,51,82,65,0
02/10/1961,59,95,85,0
03/10/1961,62,100,85,0
04/10/1961,64,96,85,0
05/10/1961,60,85,77,0
06/10/1961,58,80,78,0
07/10/1961,44,78,55,0
08/10/1961,42,55,47,0
09/10/1961,-15.61728395,-8.518518519,-10.37037037,1
10/10/1961,39,72,58,0
11/10/1961,47,72,65,0
12/10/1961,50,83,78,0
13/10/1961,61,93,87,0
14/10/1961,64,92,88,0
15/10/1961,80,96,90,0
16/10/1961,65,91,87,0
17/10/1961,61,87,76,0
18/10/1961,49,76,70,0
19/10/1961,51,72,67,0
20/10/1961,52,68,61,0
21/10/1961,8.888888889,21.66666667,16.66666667,1
22/10/1961,50,72,62,0
23/10/1961,45,75,63,0
24/10/1961,42,78,68,0
25/10/1961,52,83,64,0
26/10/1961,52,76,62,0
27/10/1961,42,62,50,0
28/10/1961,45,65,55,0
29/10/1961,37,64,54,0
30/10/1961,42,64,54,0
31/10/1961,37,64,52,0
01/11/1961,39,60,53,0
02/11/1961,47,63,60,0
03/11/1961,41,71,62,0
04/11/1961,46,79,73,0
05/11/1961,50,82,66,0
06/11/1961,58,72,64,0
07/11/1961,15.55555556,27.22222222,22.77777778,1
08/11/1961,51,79,74,0
09/11/1961,48,79,73,0
10/11/1961,46,76,66,0
11/11/1961,40,66,61,0
12/11/1961,42,77,71,0
13/11/1961,40,72,65,0
14/11/1961,37,71,59,0
15/11/1961,41,66,53,0
16/11/1961,40,56,50,0
17/11/1961,34,61,50,0
18/11/1961,38,63,53,0
19/11/1961,34,63,46,0
20/11/1961,40,56,50,0
21/11/1961,42,56,47,0
22/11/1961,34,66,59,0
23/11/1961,39,68,61,0
24/11/1961,38,62,55,0
25/11/1961,45,61,51,0
26/11/1961,45,63,58,0
27/11/1961,41,68,60,0
28/11/1961,44,74,61,0
29/11/1961,45,66,57,0
30/11/1961,49,62,57,0
01/12/1961,40,69,58,0
02/12/1961,47,61,49,0
03/12/1961,41,57,50,0
04/12/1961,36,61,57,0
05/12/1961,38,63,49,0
06/12/1961,41,66,61,0
07/12/1961,43,65,60,0
08/12/1961,33,65,56,0
09/12/1961,42,56,47,0
10/12/1961,41,48,45,0
11/12/1961,40,48,46,0
12/12/1961,34,51,45,0
13/12/1961,39,49,47,0
14/12/1961,41,47,45,0
15/12/1961,41,50,45,0
16/12/1961,41,53,48,0
17/12/1961,36,52,46,0
18/12/1961,40,52,48,0
